Summary of the spectum Methane_Line_3270_nm: 
	 lower: 3270.0 [nm] 
	 upper: 3271.0 [nm] 
Gas cell 1: 
	 length: 10 cm | temp: 296 K|pressure: 1 atm|diluent: {'H2': 1} 
	 Gasses: 
	 	 CH4: 0.0001 

 wavelenth [nm] 	 absorption
3270.068712452893	8.969028664207457e-08
3270.0794058372458	1.6402657010416988e-11
3270.0900992915344	1.1102230246251565e-16
3270.100792815761	1.1102230246251565e-16
3270.111486409925	1.0436096431476471e-13
3270.122180074028	7.026167758716895e-09
3270.13287380807	1.9467919574189807e-06
3270.143567612053	5.895383634713092e-06
3270.154261485976	5.4352301659399416e-08
3270.164955429841	9.88875648033627e-13
3270.1756494436477	2.90878432451791e-14
3270.1863435273976	8.813320073741693e-10
3270.197037681091	7.253863398837268e-07
3270.2077319047285	0.00029627526667730386
3270.2184261983107	0.0004813638886277394
3270.229120561839	1.4954652333143414e-06
3270.239814995313	8.842038212719672e-12
3270.250509498734	1.7876672364636192e-09
3270.261204072103	5.125133707650775e-06
3270.27189871542	2.8053308943842836e-05
3270.282593428686	2.275605595203345e-05
3270.293288211902	0.0004888933035612775
3270.3039830650678	2.0321686664548366e-05
3270.3146779881854	1.6198452579274658e-09
3270.3253729812545	5.231645527903339e-07
3270.336068044276	0.00017871190250218216
3270.3467631772505	0.00012051110295552281
3270.357458380179	0.024928194150538152
3270.3681536530617	0.26323656262261086
3270.3788489959	0.0070302892453999455
3270.3895444086943	0.0013250434965168534
3270.400239891445	0.20391462609475752
3270.410935444153	0.0721281072912392
3270.4216310668185	4.720378473599407e-05
3270.4323267594427	0.004638769569257906
3270.4430225220262	0.36066811585905556
3270.4537183545704	0.07888987503679668
3270.464414257074	2.8800554996544214e-05
3270.4751102295404	4.859370128507123e-09
3270.4858062719677	1.1002621036482196e-10
3270.4965023843583	9.00257646208047e-12
3270.5071985667123	-7.288836201269078e-12
3270.5178948190305	4.092948202583102e-12
3270.528591141313	1.174282893146028e-12
3270.5392875335615	1.1102230246251565e-16
3270.549983995776	3.1463720517876936e-12
3270.5606805279576	1.731599130749828e-08
3270.571377130106	1.041127484224802e-06
3270.5820738022235	2.424096022579647e-06
3270.592770544309	6.011156372665027e-08
3270.6034673563654	1.6841305994219624e-06
3270.614164238391	5.694471394424028e-07
3270.624861190388	2.992154488623555e-07
3270.6355582123565	6.163142083159823e-05
3270.6462553042975	4.214200368179988e-05
3270.6569524662114	8.287316177746362e-08
3270.667649698099	1.3016239504004545e-06
3270.678346999961	1.1776720865164236e-07
3270.6890443717984	2.1255885940263397e-11
3270.6997418136116	-2.4424906541753444e-15
3270.710439325401	-8.881784197001252e-16
3270.721136907168	2.4765745010313367e-12
3270.731834558912	2.5762625965874975e-07
3270.7425322806353	5.1080575012574236e-05
3270.753230072337	1.930106064207404e-05
3270.763927934019	1.3898449391369638e-08
3270.7746258656816	2.0308876802488385e-10
3270.785323867326	1.8620257183910027e-06
3270.7960219389515	4.935939486716556e-05
3270.8067200805604	2.543600323257067e-06
3270.817418292152	2.5120048707805154e-06
3270.8281165737285	2.3791062331302015e-07
3270.8388149252887	5.4230286927747784e-11
3270.849513346835	9.814206047842333e-08
3270.860211838367	1.6236059386942614e-06
3270.870910399886	5.116346002420613e-08
3270.881609031392	3.0709879084156455e-12
3270.892307732887	2.2857271630982723e-12
3270.90300650437	1.405455640757225e-09
3270.913705345843	4.069940495732283e-09
3270.9244042573055	1.7655315920350745e-07
3270.93510323876	2.448483460426587e-08
3270.945802290205	6.466605029231687e-12
3270.956501411643	2.2555624035192068e-11
3270.9672006030737	7.64131239394672e-08
3270.9778998644983	4.928824378636065e-07
3270.9885991959163	3.766180645126127e-08
3270.9992985973304	7.24430780141283e-07
